"comparedName";"correlation";"statistics W";"p.value";"null.value";"alternative";"method";"data.name";"confidence.interval.start";"confidence.interval.end";"estimate"
"Associated.with";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Overall.file.decorastors";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Number";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"Cycl..Density";"0.989654530990119";"0";"0.0002133522741378";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"-2.1165203819369";"-0.768954527680972";"-1.41101278858668"
"Halstead.Bugs";"0.998892206224235";"2926";"1.99562100617594e-14";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.00194590674125124";"0.00450830213654713";"0.00204304579378938"
"Halstead.Difficulty";"0.997571543791593";"294";"0.0389578973730975";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"0.0675293657284659";"0.588489301891372";"0.326457094265368"
"Halstead.Effort";"0.999193252988167";"2652";"7.58357012175807e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"57.4085130816442";"103.245458173728";"79.7495265864617"
"Halstead.Length";"0.998816929394518";"2926";"1.25431667722998e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"2.49997919360858";"1.00008986508666"
"Halstead.Time";"0.999193252988167";"2652";"7.58357012175807e-10";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"3.1895644703727";"5.7359843780794";"4.43083716041956"
"Halstead.Vocabulary";"0.998987620347983";"435";"1.96870302645626e-06";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1.50005695627895";"3.49995400868337";"1.99996216293907"
"Halstead.Identifiers.Distinct";"0.998405737014642";"171";"0.000137951506838218";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"4.00000478616858";"3.50005677797755"
"Halstead.Identifiers.Total";"0.998133091378173";"171";"0.000157937932620801";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"2";"13.4999884801648";"9.00001664279975"
"Halstead.Identifiers.Names";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"Halstead.Identifiers.Distinct.1";"0.99928520618507";"66";"0.00108934696879958";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"1"
"Halstead.Identifiers.Total.1";"0.998177677064993";"2926";"1.24596486068867e-15";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"1.49998765064465";"1.0000506293518"
"Halstead.Identifiers.Names.1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
"LOC.Physical";"1";"0";"NaN";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"NaN";"NaN";"NaN"
"LOC.Logical";"0.997752086413434";"171";"0.00015853042380583";"0";"two.sided";"Wilcoxon signed rank test with continuity correction";"data1[[columnName]] and data2[[columnName]]";"1";"7.00004626952842";"5.00002456568974"
"X";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1";"-1"
